2MASX,NED_id,ra,dec,l,b,Kmag,Kmag_err,z,zdist,zdist_err,D,D_err,gal_type,n_sumss,n_nvss,F1400,F1400_err,F843,F843_err,Fsyn,Lsyn,sum_ma,max_ma,lim_ma,max_dist_to_gal,min_dist_to_gal,contour_dist,geo_cen_ra,geo_cen_dec,flux_cen_ra,flux_cen_dec,class
09383601-0420061,2MASX J09383601-0420061,144.65005,-4.33509,239.40759,33.84391,11.347,0.082,0.0696752071,0.0716707331,0.0005003469,314.578991596,2.196135174,98,0,4,605.1,13.462169216,0,0,699.307785356,91081907122800000000000000000000000000000,0.0881944444,0.0353333333,0,0.0567585059,0.0104419965,0.0028236403,144.63517236,-4.3455905629,144.639344236,-4.337253851,j
09395923-3307068,ESO 373- G 018,144.99686,-33.11855,263.02054,14.53438,11.119,0.054,0.0420859866,0.042093779,0.0005003469,180.90229643,2.1502916201,4,1,1,390.6,11.7,585.3,17.7,498.929815634,21489778450000000000000000000000000000000,0.0050833333,0.0050833333,0,0.001450233,0.0011955337,0,144.996043688,-33.1206141891,144.988746569,-33.1206702939,p
09422410-3044101,PKS 0940-304,145.60036,-30.73615,261.72287,16.62623,10.792,0.053,0.0386269101,0.038497068,0.0005003469,165.010941403,2.1446493059,-1,1,3,353.3,11.6769002736,400.4,12.2,408.305140582,14632369251700000000000000000000000000000,0.0476111111,0.0245277778,0,0.0216793555,6.52732148063E-005,0,145.604827525,-30.7396622894,145.599909652,-30.7355568274,j
09453879-3111279,NGC 2997,146.41164,-31.19109,262.57877,16.76339,6.604,0.02,0.003629195,0.0034184668,0.0005503816,12.5436035265,1.4850794836,5,3,6,223.9,7.5591004756,423.2,20.8235443669,360.750210108,74706011473100000000000000000000000000,0.1823333333,0.0997222222,0,0.0351256062,0.0003775881,0,146.414853804,-31.1911085751,146.41476196,-31.1952748974,g
09454204-1419348,NGC 2992,146.42519,-14.32636,249.70613,28.78092,8.685,0.018,0.0077787525,0.0083470605,0.0005503816,34.8759177548,2.2503932911,1,0,1,226.2,6.8,0,0,261.416990659,418494178397000000000000000000000000000,0.0053611111,0.0053611111,1,0.0002007222,0.0002007222,0,146.425848544,-14.327320963,146.42154672,-14.3272893456,p
09475094-3715272,2MASX J09475094-3715272,146.96227,-37.25753,267.09445,12.52881,11.256,0.079,0.0412487366,0.0411911144,0.0005003469,176.9065409,2.1488769504,98,2,2,667.1,16.175598907,974.7,24.3304336172,830.867745255,34223466845600000000000000000000000000000,0.0374166667,0.0331111111,0,0.0338219935,0.0003514417,0,146.960899286,-37.2487607282,146.950515092,-37.244461546,j
09555243+6940469,MESSIER 082,148.96846,69.6797,141.40953,40.5671,4.636,0.015,0.0006771384,0.0016628711,0.0004669905,3.6771370582,0.3220844698,0,0,2,6432.6,209.141794006,0,0,7434.08901022,132297522835000000000000000000000000000,0.0171388889,0.009,0,0.0102495195,0.00082784,0.0021568633,148.961877339,69.6811107997,148.961877339,69.6811107997,g
09582458-2655356,NGC 3078,149.60246,-26.9266,261.78064,21.80233,7.925,0.02,0.0086493576,0.0092995148,0.0004586513,38.6674837225,1.8305001066,-5,0,3,321.7,10.9329776365,0,0,371.785348784,731624793236000000000000000000000000000,0.05725,0.0280555556,0,0.0182300763,0.0001395966,0,149.603176131,-26.9280499276,149.598442647,-26.923937547,j
09592102+0117518,2MASX J09592102+0117518,149.83752,1.29786,237.58971,41.36277,11.634,0.068,0.0976013289,0.1023414232,0.0005003469,458.710498308,2.2426341258,98,0,2,509,17.0355510624,0,0,588.246013463,162907347549000000000000000000000000000000,0.0212777778,0.0116111111,0,0.0200938505,0.0034997341,0,149.842458516,1.3001116344,149.838288626,1.3001116344,j
10002708-0754140,MCG -01-26-006,150.11287,-7.90385,246.96602,35.77913,10.85,0.063,0.0335767251,0.0334591062,0.0005003469,142.886444344,2.1367213647,-3,0,2,265.7,7.072481884,0,0,307.066730407,8251238557090000000000000000000000000000,0.0431666667,0.0259444444,0,0.0235042388,0.0174749882,0.0077213086,150.110861401,-7.9082071531,150.110880486,-7.904040524,j
10004083-3139519,NGC 3100,150.17017,-31.66449,265.44623,18.50748,8.159,0.026,0.0086126668,0.0091942679,0.0005003469,38.5548486076,2.0981331536,-2,1,1,530.2,15.9,724.2,21.8,617.332944613,1207763161390000000000000000000000000000,0.0051111111,0.0051111111,0,0.0014322118,0.0003755595,0,150.169564436,-31.6640273623,150.169564436,-31.6640273623,j
10015792+5540480,NGC 3079,150.49135,55.68,157.80977,48.36007,7.341,0.016,0.0037225934,0.0046745725,0.0005503816,19.5689789652,1.9761693058,5,0,3,865.4,27.2422466034,0,0,1000.13379185,504079173373000000000000000000000000000,0.0363333333,0.0124444444,0,0.0220883215,0.0002799597,0.0027238733,150.487784544,55.6823612134,150.487836518,55.6865278401,g
10045181+5434046,CGCG 266-018,151.21597,54.56789,159.06657,49.21024,10.991,0.051,0.0470027452,0.0484915402,0.0005003469,209.366504473,2.1602918268,-5,0,9,229.6,7.195832127,0,0,265.346335346,15308471109800000000000000000000000000000,0.2778055556,0.0616666667,0,0.122420729,0.0017905372,0,151.257349255,54.5515458003,151.22924252,54.5726823058,j
10065190+1422247,NGC 3119,151.7162,14.37357,222.87296,49.67939,9.748,0.031,0.0294371746,0.0295005611,0.0005003469,125.613082288,2.1304718211,-5,0,4,763,14.6703783182,0,0,881.791175387,18312170089600000000000000000000000000000,0.0870277778,0.0353333333,0,0.0613425859,0.0005597885,0.001027722,151.724729385,14.3621002721,151.711804504,14.3787567202,j
10083368-0428393,MCG -01-26-026,152.14035,-4.47767,245.41315,39.55946,11.361,0.07,0.0508987928,0.0516142845,0.0005003469,223.351011449,2.1651560909,98,0,1,250.1,7.5,0,0,289.03797243,18977328244200000000000000000000000000000,0.0053611111,0.0053611111,1,0.0002404218,0.0002404218,0.0028433296,152.137921379,-4.4791607327,152.137920593,-4.4749939214,p
10275128-4354135,NGC 3256,156.96364,-43.90382,277.37244,11.72749,8.127,0.017,0.0094599237,0.0097031072,0.0006254336,40.6498904596,2.563390703,6,1,0,0,0,1080.7,32.5,921.225784649,2003499160590000000000000000000000000000,0,0,1,0.0010474498,0.0010474498,0,156.963904932,-43.9039800517,156.959663974,-43.9040527355,p
10301064-0309488,CGCG 009-062,157.54439,-3.16363,249.0145,44.42263,9.977,0.048,0.0379697856,0.0380692246,0.0005003469,163.125924311,2.1439771532,-4,0,7,367.8,7.6426435217,0,0,425.062639984,14886864198200000000000000000000000000000,0.1742777778,0.0348055556,0,0.125236203,0.0006166256,0.0770403746,157.54005319,-3.177696914,157.535829251,-3.1443678552,j
10325883+5644538,CGCG 290-048,158.24522,56.74823,152.97737,51.5311,10.615,0.04,0.0448379037,0.0462489368,0.0005003469,199.360340029,2.1567917381,-5,0,8,515.8,9.1940197955,0,0,596.104702837,31182031070600000000000000000000000000000,0.20625,0.0353055556,0,0.1278678329,0.0035422628,0,158.264219283,56.7338443955,158.285733646,56.7126092918,j
10360578+0006068,2MASX J10360578+0006068,159.02408,0.1019,247.04526,47.73735,11.696,0.086,0.0968341278,0.101454172,0.0005003469,454.463945878,2.2413037773,6,0,2,544.6,14.0801278403,0,0,629.388563717,171088980166000000000000000000000000000000,0.0410833333,0.0293611111,0,0.0183002763,0.0060599074,0,159.029118676,0.100000056,159.020783995,0.1041667295,j
